t_us,openloop_el_angle_rad,sensor_raw,sensor_error
406448,-17.879026,1015,0
407699,-17.934038,4095,0
408954,-17.98905,1020,0
410211,-18.044062,1024,0
411447,-18.099073,1026,0
412698,-18.154085,1029,0
413947,-18.209097,1032,0
415197,-18.264109,1035,0
416447,-18.31912,1038,0
417699,-18.374132,1041,0
418947,-18.429144,2047,0
420197,-18.484156,1046,0
421447,-18.539167,3045,0
422705,-18.594179,2048,0
423947,-18.649191,2048,0
425211,-18.704203,3040,0
426453,-18.759214,1056,0
427698,-18.814226,1058,0
428948,-18.869238,2048,0
430198,-18.92425,1061,0
431448,-18.979261,1064,0
432699,-19.034273,1067,0
433948,-19.089285,1069,0
435198,-19.144297,1072,0
436448,-19.199308,1075,0
437699,-19.25432,1077,0
438948,-19.309332,3016,0
440198,-19.364344,2048,0
441448,-19.419355,3011,0
442699,-19.474367,3009,0
443948,-19.529379,1089,0
445198,-19.584391,3004,0
446448,-19.639402,1094,0
447705,-19.694414,1096,0
448948,-19.749426,2048,0
450198,-19.804438,1100,0
451448,-19.859449,1101,0
452699,-19.914461,1103,0
453948,-19.969473,1103,0
455198,-20.024485,1105,0
456448,-20.079496,1107,0
457699,-20.134508,1109,0
458948,-20.18952,2984,0
460198,-20.244532,1114,0
461448,-20.299543,2047,0
462699,-20.354555,2975,0
463948,-20.409567,2972,0
465198,-20.464579,2048,0
466448,-20.51959,2048,0
467699,-20.574602,1131,0
468948,-20.629614,2048,0
470198,-20.684626,1139,0
471448,-20.739637,1142,0
472699,-20.794649,1145,0
473954,-20.849661,1149,0
475198,-20.904673,1151,0
476448,-20.959684,1154,0
477699,-21.014696,1156,0
478948,-21.069708,2047,0
480198,-21.12472,2048,0
481448,-21.179731,1165,0
482699,-21.234743,2927,0
483948,-21.289755,2048,0
485198,-21.344767,2047,0
486448,-21.399778,2048,0
487699,-21.45479,1180,0
488948,-21.509802,1184,0
490198,-21.564814,1189,0
491454,-21.619825,1192,0
492705,-21.674837,1195,0
493948,-21.729849,1198,0
495198,-21.784861,1200,0
496454,-21.839872,1203,0
497699,-21.894884,1205,0
498948,-21.949896,2888,0
500198,-22.004908,2047,0
501448,-22.059919,2883,0
502699,-22.114931,2880,0
503948,-22.169943,2878,0
505198,-22.224955,2048,0
506454,-22.279966,2874,0
507699,-22.334978,1224,0
508948,-22.38999,1225,0
510198,-22.445002,1228,0
511448,-22.500013,1230,0
512699,-22.555025,1233,0
513954,-22.610037,1236,0
515198,-22.665049,1238,0
516454,-22.72006,1241,0
517699,-22.775072,1243,0
518948,-22.830084,2048,0
520197,-22.885096,2848,0
521453,-22.940107,2048,0
522699,-22.995119,2846,0
523947,-23.050131,2047,0
525198,-23.105143,2048,0
526454,-23.160154,2047,0
527699,-23.215166,1257,0
528947,-23.270178,1258,0
530212,-23.32519,1261,0
531447,-23.380201,1263,0
532699,-23.435213,1266,0
533953,-23.490225,1267,0
535197,-23.545237,1269,0
536447,-23.600248,1271,0
537699,-23.65526,1273,0
538947,-23.710272,1276,0
540197,-23.765284,2817,0
541447,-23.820295,2815,0
542699,-23.875307,2812,0
543947,-23.930319,2809,0
545198,-23.985331,1289,0
546447,-24.040342,2804,0
547699,-24.095354,1295,0
548947,-24.150366,1297,0
550197,-24.205378,1299,0
551447,-24.260389,1302,0
552699,-24.315401,1305,0
553953,-24.370413,1308,0
555211,-24.425425,1311,0
556447,-24.480436,1315,0
557699,-24.535448,1318,0
558953,-24.59046,1322,0
560197,-24.645472,2771,0
561447,-24.700483,2048,0
562698,-24.755495,2764,0
563953,-24.810507,2759,0
565197,-24.865519,2047,0
566447,-24.92053,2048,0
567699,-24.975542,1346,0
568947,-25.030554,1349,0
570196,-25.085566,1351,0
571448,-25.140577,1354,0
572699,-25.195589,1358,0
573948,-25.250601,1360,0
575212,-25.305613,1363,0
576448,-25.360624,1366,0
577699,-25.415636,2726,0
578948,-25.470648,1371,0
580198,-25.52566,2720,0
581454,-25.580671,2718,0
582699,-25.635683,1380,0
583948,-25.690695,2712,0
585198,-25.745707,2048,0
586448,-25.800718,2047,0
587699,-25.85573,2705,0
588948,-25.910742,1392,0
590198,-25.965754,1393,0
591448,-26.020765,1394,0
592699,-26.075777,1395,0
593948,-26.130789,1397,0
595198,-26.185801,1398,0
596448,-26.240812,1400,0
597699,-26.295824,2693,0
598948,-26.350836,1404,0
600198,-26.405848,2047,0
601448,-26.460859,2685,0
602699,-26.515871,2048,0
603948,-26.570883,2680,0
605198,-26.625895,2048,0
