t_us,openloop_el_angle_rad,sensor_raw,sensor_error,status,agc,magnitude,diag_enabled,turns
588110,-51.71146,1827,0,51,128,1483,1,2
589374,-51.821484,1823,0,51,128,1483,1,2
590629,-51.931507,1819,0,51,128,1482,1,2
591866,-52.041531,1815,0,51,128,1484,1,2
593104,-52.151554,1810,0,51,128,1483,1,2
594368,-52.261578,1807,0,51,128,1484,1,2
595629,-52.371601,1802,0,51,128,1483,1,2
596872,-52.481625,1798,0,51,128,1483,1,2
598104,-52.591648,1794,0,51,128,1483,1,2
599368,-52.701672,1789,0,51,128,1482,1,2
600629,-52.811695,1784,0,51,128,1482,1,2
601866,-52.921719,1780,0,51,128,1482,1,2
603104,-53.031742,1775,0,51,128,1482,1,2
604368,-53.141766,1770,0,51,128,1483,1,2
605629,-53.251789,1766,0,51,128,1483,1,2
606866,-53.361813,1760,0,51,128,1483,1,2
608104,-53.471836,1754,0,51,128,1482,1,2
609368,-53.58186,1748,0,51,128,1482,1,2
610636,-53.691883,1741,0,51,128,1481,1,2
611866,-53.801907,1735,0,51,128,1481,1,2
613104,-53.91193,1729,0,51,128,1482,1,2
614368,-54.021954,1723,0,51,128,1481,1,2
615629,-54.131977,1718,0,51,128,1481,1,2
616866,-54.242001,1711,0,51,128,1482,1,2
618104,-54.352024,1705,0,51,128,1482,1,2
619368,-54.462048,1698,0,51,128,1481,1,2
620636,-54.572071,1692,0,51,128,1481,1,2
621866,-54.682095,1687,0,51,128,1481,1,2
623110,-54.792118,1681,0,51,128,1481,1,2
624368,-54.902142,1676,0,51,128,1482,1,2
625628,-55.012165,1672,0,51,128,1482,1,2
626866,-55.122189,1667,0,51,128,1481,1,2
628103,-55.232212,1663,0,51,128,1482,1,2
629368,-55.342236,1659,0,51,128,1481,1,2
630628,-55.452259,1655,0,51,128,1481,1,2
631866,-55.562283,1650,0,51,128,1481,1,2
633110,-55.672306,1644,0,51,128,1481,1,2
634361,-55.78233,1641,0,51,128,1481,1,2
635633,-55.892353,1636,0,51,128,1482,1,2
636872,-56.002377,1633,0,51,128,1481,1,2
638103,-56.1124,1629,0,51,128,1482,1,2
639361,-56.222424,1625,0,51,128,1480,1,2
640626,-56.332447,1621,0,51,128,1483,1,2
641866,-56.442471,1617,0,51,128,1480,1,2
643104,-56.552494,1612,0,51,128,1481,1,2
644368,-56.662518,1607,0,51,128,1482,1,2
645636,-56.772541,1603,0,51,128,1480,1,2
646872,-56.882565,1596,0,51,128,1482,1,2
648104,-56.992588,1590,0,51,128,1480,1,2
649368,-57.102612,1584,0,51,128,1480,1,2
650629,-57.212635,1578,0,51,128,1479,1,2
651866,-57.322659,1572,0,51,128,1479,1,2
653104,-57.432682,1566,0,51,128,1480,1,2
654374,-57.542706,1559,0,51,128,1479,1,2
655636,-57.652729,1554,0,51,128,1480,1,2
656866,-57.762753,1547,0,51,128,1479,1,2
658104,-57.872776,1541,0,51,128,1481,1,2
659368,-57.9828,1534,0,51,128,1480,1,2
660629,-58.092823,1528,0,51,128,1480,1,2
661866,-58.202847,1523,0,51,128,1479,1,2
663110,-58.31287,1518,0,51,128,1478,1,2
664368,-58.422894,1512,0,51,128,1480,1,2
665629,-58.532917,1507,0,51,128,1480,1,2
666866,-58.642941,1503,0,51,128,1480,1,2
668104,-58.752964,1498,0,51,128,1480,1,2
669381,-58.862988,1493,0,51,128,1480,1,2
670636,-58.973011,1488,0,51,128,1479,1,2
671866,-59.083035,1484,0,51,128,1479,1,2
673104,-59.193058,1480,0,51,128,1479,1,2
674368,-59.303082,1476,0,51,128,1480,1,2
675629,-59.413105,1472,0,51,128,1478,1,2
676866,-59.523129,1468,0,51,128,1481,1,2
678111,-59.633152,1464,0,51,128,1480,1,2
679374,-59.743176,1459,0,51,128,1480,1,2
680629,-59.853199,1455,0,51,128,1479,1,2
681872,-59.963223,1450,0,51,128,1479,1,2
683104,-60.073246,1445,0,51,128,1481,1,2
684368,-60.18327,1440,0,51,128,1479,1,2
685629,-60.293293,1434,0,51,128,1480,1,2
686866,-60.403316,1429,0,51,128,1479,1,2
688104,-60.51334,1423,0,51,128,1480,1,2
689368,-60.623363,1418,0,51,128,1481,1,2
690619,-60.733387,1412,0,51,128,1479,1,2
691866,-60.84341,1406,0,51,128,1480,1,2
693104,-60.953434,1400,0,51,128,1479,1,2
