t_us,openloop_el_angle_rad,sensor_raw,sensor_error,status,agc,magnitude,diag_enabled,turns
352756,-31.027027,1299,0,255,255,65535,0,2
354006,-31.137053,1305,0,255,255,65535,0,2
355283,-31.247078,1309,0,255,255,65535,0,2
356519,-31.357103,1315,0,255,255,65535,0,2
357757,-31.467129,1320,0,255,255,65535,0,2
359007,-31.577154,1326,0,255,255,65535,0,2
360284,-31.68718,1332,0,255,255,65535,0,2
361523,-31.797205,1338,0,255,255,65535,0,2
362757,-31.90723,1345,0,255,255,65535,0,2
364007,-32.017254,2744,0,255,255,65535,0,2
365284,-32.127277,1357,0,255,255,65535,0,2
366524,-32.237301,1363,0,255,255,65535,0,2
367758,-32.347324,1369,0,255,255,65535,0,2
369007,-32.457348,1375,0,255,255,65535,0,2
370284,-32.567371,1381,0,255,255,65535,0,2
371519,-32.677395,1387,0,255,255,65535,0,2
372757,-32.787418,1392,0,255,255,65535,0,2
374007,-32.897442,1397,0,255,255,65535,0,2
375284,-33.007465,1402,0,255,255,65535,0,2
376519,-33.117489,1406,0,255,255,65535,0,2
377763,-33.227512,1411,0,255,255,65535,0,2
379007,-33.337536,1416,0,255,255,65535,0,2
380284,-33.447559,1420,0,255,255,65535,0,2
381523,-33.557583,2047,0,255,255,65535,0,2
382757,-33.667606,1429,0,255,255,65535,0,2
384007,-33.77763,2047,0,255,255,65535,0,2
385284,-33.887653,1437,0,255,255,65535,0,2
386520,-33.997677,1442,0,255,255,65535,0,2
387757,-34.1077,1444,0,255,255,65535,0,2
389007,-34.217724,1449,0,255,255,65535,0,2
390284,-34.327747,1452,0,255,255,65535,0,2
391523,-34.437771,1456,0,255,255,65535,0,2
392757,-34.547794,1461,0,255,255,65535,0,2
394007,-34.657818,1466,0,255,255,65535,0,2
395284,-34.767841,1471,0,255,255,65535,0,2
396519,-34.877865,1476,0,255,255,65535,0,2
397757,-34.987888,1483,0,255,255,65535,0,2
399007,-35.097912,1489,0,255,255,65535,0,2
400284,-35.207935,1494,0,255,255,65535,0,2
401519,-35.317959,2047,0,255,255,65535,0,2
402756,-35.427982,1506,0,255,255,65535,0,2
404013,-35.538006,2048,0,255,255,65535,0,2
405284,-35.648029,1518,0,255,255,65535,0,2
406519,-35.758053,1524,0,255,255,65535,0,2
407757,-35.868076,1531,0,255,255,65535,0,2
409007,-35.9781,1538,0,255,255,65535,0,2
410283,-36.088123,1543,0,255,255,65535,0,2
411519,-36.198147,1549,0,255,255,65535,0,2
412757,-36.30817,1554,0,255,255,65535,0,2
414007,-36.418194,1560,0,255,255,65535,0,2
415284,-36.528217,1564,0,255,255,65535,0,2
416519,-36.638241,1569,0,255,255,65535,0,2
417757,-36.748264,1574,0,255,255,65535,0,2
419007,-36.858288,1579,0,255,255,65535,0,2
420283,-36.968311,1583,0,255,255,65535,0,2
421519,-37.078335,1588,0,255,255,65535,0,2
422756,-37.188358,1592,0,255,255,65535,0,2
424013,-37.298382,1595,0,255,255,65535,0,2
425283,-37.408405,2496,0,255,255,65535,0,2
426519,-37.518429,1604,0,255,255,65535,0,2
427756,-37.628452,1607,0,255,255,65535,0,2
429007,-37.738476,1612,0,255,255,65535,0,2
430284,-37.848499,1615,0,255,255,65535,0,2
431519,-37.958523,1620,0,255,255,65535,0,2
432757,-38.068546,1625,0,255,255,65535,0,2
434008,-38.17857,1631,0,255,255,65535,0,2
435284,-38.288593,1636,0,255,255,65535,0,2
436519,-38.398617,1641,0,255,255,65535,0,2
437757,-38.50864,1646,0,255,255,65535,0,2
439007,-38.618664,1652,0,255,255,65535,0,2
440284,-38.728687,1658,0,255,255,65535,0,2
441520,-38.838711,2048,0,255,255,65535,0,2
442757,-38.948734,2426,0,255,255,65535,0,2
444007,-39.058758,1676,0,255,255,65535,0,2
445284,-39.168781,1682,0,255,255,65535,0,2
446520,-39.278805,1688,0,255,255,65535,0,2
447757,-39.388828,1694,0,255,255,65535,0,2
449007,-39.498852,2048,0,255,255,65535,0,2
450284,-39.608875,1706,0,255,255,65535,0,2
451519,-39.718899,1711,0,255,255,65535,0,2
452757,-39.828922,1717,0,255,255,65535,0,2
454007,-39.938946,1721,0,255,255,65535,0,2
455284,-40.048969,1727,0,255,255,65535,0,2
456520,-40.158993,1733,0,255,255,65535,0,2
457757,-40.269016,1736,0,255,255,65535,0,2
459007,-40.37904,1741,0,255,255,65535,0,2
460284,-40.489063,1745,0,255,255,65535,0,2
461519,-40.599087,1749,0,255,255,65535,0,2
462757,-40.70911,2341,0,255,255,65535,0,2
464007,-40.819134,1759,0,255,255,65535,0,2
465284,-40.929157,2047,0,255,255,65535,0,2
466520,-41.039181,2047,0,255,255,65535,0,2
467757,-41.149204,1773,0,255,255,65535,0,2
469007,-41.259228,1778,0,255,255,65535,0,2
470284,-41.369251,1782,0,255,255,65535,0,2
471519,-41.479275,1786,0,255,255,65535,0,2
472757,-41.589298,1790,0,255,255,65535,0,2
474007,-41.699322,1795,0,255,255,65535,0,2
475283,-41.809345,1800,0,255,255,65535,0,2
476519,-41.919369,1804,0,255,255,65535,0,2
477757,-42.029392,1810,0,255,255,65535,0,2
479013,-42.139416,1815,0,255,255,65535,0,2
480283,-42.249439,1821,0,255,255,65535,0,2
481523,-42.359463,1827,0,255,255,65535,0,2
482757,-42.469486,2048,0,255,255,65535,0,2
484013,-42.57951,1838,0,255,255,65535,0,2
485283,-42.689533,1844,0,255,255,65535,0,2
486519,-42.799557,2048,0,255,255,65535,0,2
487757,-42.90958,1855,0,255,255,65535,0,2
489007,-43.019604,1861,0,255,255,65535,0,2
490283,-43.129627,1867,0,255,255,65535,0,2
491519,-43.239651,1873,0,255,255,65535,0,2
492756,-43.349674,1879,0,255,255,65535,0,2
494006,-43.459698,1883,0,255,255,65535,0,2
495283,-43.569721,1889,0,255,255,65535,0,2
496519,-43.679745,1894,0,255,255,65535,0,2
497756,-43.789768,1898,0,255,255,65535,0,2
499006,-43.899792,1903,0,255,255,65535,0,2
500284,-44.009815,2187,0,255,255,65535,0,2
501519,-44.119839,1914,0,255,255,65535,0,2
502758,-44.229862,2177,0,255,255,65535,0,2
504007,-44.339886,2047,0,255,255,65535,0,2
505284,-44.449909,1928,0,255,255,65535,0,2
506520,-44.559933,2163,0,255,255,65535,0,2
507758,-44.669956,1937,0,255,255,65535,0,2
509007,-44.77998,1942,0,255,255,65535,0,2
510284,-44.890003,1946,0,255,255,65535,0,2
511519,-45.000027,1950,0,255,255,65535,0,2
512757,-45.11005,1954,0,255,255,65535,0,2
514014,-45.220074,1959,0,255,255,65535,0,2
515284,-45.330097,1964,0,255,255,65535,0,2
516519,-45.440121,1968,0,255,255,65535,0,2
517757,-45.550144,1974,0,255,255,65535,0,2
519007,-45.660168,1979,0,255,255,65535,0,2
520284,-45.770191,2048,0,255,255,65535,0,2
521519,-45.880215,1988,0,255,255,65535,0,2
522757,-45.990238,1994,0,255,255,65535,0,2
524007,-46.100262,2095,0,255,255,65535,0,2
525284,-46.210285,2005,0,255,255,65535,0,2
526519,-46.320309,2048,0,255,255,65535,0,2
527757,-46.430332,2017,0,255,255,65535,0,2
529007,-46.540356,2023,0,255,255,65535,0,2
530284,-46.650379,2028,0,255,255,65535,0,2
531520,-46.760403,2034,0,255,255,65535,0,2
532757,-46.870426,2040,0,255,255,65535,0,2
534007,-46.98045,2045,0,255,255,65535,0,2
535284,-47.090473,2051,0,255,255,65535,0,2
536519,-47.200497,2057,0,255,255,65535,0,2
537757,-47.31052,2063,0,255,255,65535,0,2
539007,-47.420544,2068,0,255,255,65535,0,2
540284,-47.530567,2074,0,255,255,65535,0,2
541520,-47.640591,2079,0,255,255,65535,0,2
542757,-47.750614,2048,0,255,255,65535,0,2
544007,-47.860638,2048,0,255,255,65535,0,2
545284,-47.970661,2092,0,255,255,65535,0,2
546519,-48.080685,2048,0,255,255,65535,0,2
547769,-48.190708,2102,0,255,255,65535,0,2
549007,-48.300732,2107,0,255,255,65535,0,2
550283,-48.410755,2111,0,255,255,65535,0,2
551519,-48.520779,2116,0,255,255,65535,0,2
552769,-48.630802,2120,0,255,255,65535,0,2
554013,-48.740826,2125,0,255,255,65535,0,2
555283,-48.850849,2129,0,255,255,65535,0,2
556519,-48.960873,2132,0,255,255,65535,0,2
557757,-49.070896,2136,0,255,255,65535,0,2
559007,-49.18092,2142,0,255,255,65535,0,2
560284,-49.290943,2147,0,255,255,65535,0,2
561519,-49.400967,1943,0,255,255,65535,0,2
562756,-49.51099,2157,0,255,255,65535,0,2
564006,-49.621014,1933,0,255,255,65535,0,2
565283,-49.731037,2047,0,255,255,65535,0,2
566522,-49.841061,2048,0,255,255,65535,0,2
567756,-49.951084,2048,0,255,255,65535,0,2
569006,-50.061108,2184,0,255,255,65535,0,2
570283,-50.171131,2189,0,255,255,65535,0,2
571520,-50.281155,2195,0,255,255,65535,0,2
572757,-50.391178,2201,0,255,255,65535,0,2
574007,-50.501202,2208,0,255,255,65535,0,2
575284,-50.611225,2214,0,255,255,65535,0,2
576521,-50.721249,2221,0,255,255,65535,0,2
577757,-50.831272,2226,0,255,255,65535,0,2
579007,-50.941296,2232,0,255,255,65535,0,2
580284,-51.051319,2237,0,255,255,65535,0,2
581519,-51.161343,1852,0,255,255,65535,0,2
582757,-51.271366,2047,0,255,255,65535,0,2
584007,-51.38139,2253,0,255,255,65535,0,2
585284,-51.491413,1837,0,255,255,65535,0,2
586520,-51.601437,2263,0,255,255,65535,0,2
587757,-51.71146,2047,0,255,255,65535,0,2
589007,-51.821484,2272,0,255,255,65535,0,2
590284,-51.931507,2276,0,255,255,65535,0,2
591519,-52.041531,2280,0,255,255,65535,0,2
592757,-52.151554,2284,0,255,255,65535,0,2
594007,-52.261578,2288,0,255,255,65535,0,2
595284,-52.371601,2292,0,255,255,65535,0,2
596519,-52.481625,2297,0,255,255,65535,0,2
597757,-52.591648,2302,0,255,255,65535,0,2
599008,-52.701672,1789,0,255,255,65535,0,2
600284,-52.811695,2311,0,255,255,65535,0,2
601519,-52.921719,1779,0,255,255,65535,0,2
602757,-53.031742,2320,0,255,255,65535,0,2
604007,-53.141766,2048,0,255,255,65535,0,2
605284,-53.251789,2048,0,255,255,65535,0,2
606519,-53.361813,2335,0,255,255,65535,0,2
607757,-53.471836,2341,0,255,255,65535,0,2
609007,-53.58186,2347,0,255,255,65535,0,2
610284,-53.691883,2353,0,255,255,65535,0,2
611520,-53.801907,2359,0,255,255,65535,0,2
612757,-53.91193,2366,0,255,255,65535,0,2
614007,-54.021954,2372,0,255,255,65535,0,2
615284,-54.131977,2378,0,255,255,65535,0,2
616519,-54.242001,2384,0,255,255,65535,0,2
617757,-54.352024,2390,0,255,255,65535,0,2
619007,-54.462048,2396,0,255,255,65535,0,2
620283,-54.572071,2402,0,255,255,65535,0,2
621523,-54.682095,2048,0,255,255,65535,0,2
622756,-54.792118,1682,0,255,255,65535,0,2
624007,-54.902142,2418,0,255,255,65535,0,2
625283,-55.012165,1672,0,255,255,65535,0,2
626519,-55.122189,2047,0,255,255,65535,0,2
627757,-55.232212,2432,0,255,255,65535,0,2
629007,-55.342236,2437,0,255,255,65535,0,2
630283,-55.452259,2440,0,255,255,65535,0,2
631519,-55.562283,2445,0,255,255,65535,0,2
632757,-55.672306,2450,0,255,255,65535,0,2
634006,-55.78233,2454,0,255,255,65535,0,2
635283,-55.892353,2458,0,255,255,65535,0,2
636519,-56.002377,2462,0,255,255,65535,0,2
637756,-56.1124,2466,0,255,255,65535,0,2
639006,-56.222424,2048,0,255,255,65535,0,2
640283,-56.332447,2474,0,255,255,65535,0,2
641519,-56.442471,2478,0,255,255,65535,0,2
642764,-56.552494,1612,0,255,255,65535,0,2
644007,-56.662518,2048,0,255,255,65535,0,2
645284,-56.772541,2494,0,255,255,65535,0,2
646519,-56.882565,1596,0,255,255,65535,0,2
647757,-56.992588,2505,0,255,255,65535,0,2
649008,-57.102612,2047,0,255,255,65535,0,2
650284,-57.212635,2517,0,255,255,65535,0,2
651520,-57.322659,2523,0,255,255,65535,0,2
652757,-57.432682,2529,0,255,255,65535,0,2
654008,-57.542706,2535,0,255,255,65535,0,2
655284,-57.652729,2542,0,255,255,65535,0,2
656520,-57.762753,2548,0,255,255,65535,0,2
657757,-57.872776,2555,0,255,255,65535,0,2
659007,-57.9828,2561,0,255,255,65535,0,2
660284,-58.092823,2047,0,255,255,65535,0,2
661519,-58.202847,2572,0,255,255,65535,0,2
662757,-58.31287,1518,0,255,255,65535,0,2
664007,-58.422894,2048,0,255,255,65535,0,2
665284,-58.532917,2048,0,255,255,65535,0,2
666520,-58.642941,2048,0,255,255,65535,0,2
667757,-58.752964,2597,0,255,255,65535,0,2
669007,-58.862988,2603,0,255,255,65535,0,2
670284,-58.973011,2607,0,255,255,65535,0,2
671520,-59.083035,2611,0,255,255,65535,0,2
672763,-59.193058,2615,0,255,255,65535,0,2
674007,-59.303082,2619,0,255,255,65535,0,2
675284,-59.413105,2623,0,255,255,65535,0,2
676519,-59.523129,2627,0,255,255,65535,0,2
677757,-59.633152,2631,0,255,255,65535,0,2
679007,-59.743176,2048,0,255,255,65535,0,2
680284,-59.853199,2048,0,255,255,65535,0,2
681519,-59.963223,2645,0,255,255,65535,0,2
682757,-60.073246,1444,0,255,255,65535,0,2
684007,-60.18327,1440,0,255,255,65535,0,2
685284,-60.293293,2661,0,255,255,65535,0,2
686520,-60.403316,1429,0,255,255,65535,0,2
687757,-60.51334,2672,0,255,255,65535,0,2
689007,-60.623363,2677,0,255,255,65535,0,2
690283,-60.733387,2683,0,255,255,65535,0,2
691519,-60.84341,2689,0,255,255,65535,0,2
692757,-60.953434,2695,0,255,255,65535,0,2
694007,-61.063457,2702,0,255,255,65535,0,2
695283,-61.173481,2708,0,255,255,65535,0,2
696523,-61.283504,2713,0,255,255,65535,0,2
697756,-61.393528,2720,0,255,255,65535,0,2
699007,-61.503551,2725,0,255,255,65535,0,2
700284,-61.613575,2048,0,255,255,65535,0,2
701519,-61.723598,2737,0,255,255,65535,0,2
